    2  190  202  390  402  589  590  602  789
   68  131  268  331  468  531  668  730  731
   50  194  250  394  450  594  650  794
   23  151  224  351  424  551  624  751
   77  112  276  312  476  512  676  713
   39  125  239  325  439  525  526  639  726
   42  112  242  312  313  442  513  642  713
    3    4  149  204  349  404  549  604  749
   57  144  257  344  457  544  657  744
   96  148  296  348  496  548  695  748
   62  175  262  375  462  574  662  774
   34  187  234  387  434  435  587  635  787
   84  111  284  311  484  511  684  711
    0  173  201  373  401  573  601  773
   85  106  284  307  484  507  684  707
   49   50  122  250  322  450  522  650  722
    0  150  200  350  401  550  601  750
   68  114  268  314  468  514  668  714
   75  158  275  358  475  558  675  758
   24  179  225  378  425  578  625  778
   28  181  228  381  429  581  629  781
   67  100  267  300  467  500  667  700
   11  100  212  300  412  500  612  700
  200  374  400  574  600  774
   22  198  222  398  422  597  622  797
   94  120  294  320  494  520  694  720
   75  184  275  384  475  584  675  783
   36  115  116  236  316  435  516  635  716
   15  163  215  363  415  563  616  763
   49  186  250  386  450  586  650  786
   29  183  229  383  429  583  629  783
   52  148  252  348  452  548  652  747
   60  126  260  326  459  526  659  726
   40  102  240  303  440  503  640  703
   87  194  287  394  487  594  686  793
   69  122  269  322  468  522  668  722
   36  115  236  315  436  515  637  715
   98  155  298  355  497  554  697  754
   84  165  283  365  483  565  683  766
   22  140  222  340  422  541  622  741
   94  179  294  379  494  579  693  779
   37  156  237  356  437  556  638  756
   80  144  279  344  479  544  679  744
   53  121  253  321  453  522  653  722
   19  114  219  315  419  515  620  715
   53  127  253  327  453  527  653  727
   32  192  232  392  432  592  632  792
    7  147  208  347  408  547  608  747
   16  152  216  217  352  417  552  617  752
   62  138  262  338  461  539  661  739
   91  150  290  349  490  549  689  690  749
  293  399  493  599  692  798  799
   27  178  227  378  427  578  627  778
   73  198  273  397  474  597  674  797
   28  155  228  355  428  555  628  754
   52  132  252  332  452  532  652  732
   29  169  229  369  429  569  630  768
   77  146  277  346  477  546  677  746
   98   99  121  298  322  498  522  697  722
    9  114  210  314  410  514  610  714
   34  129  235  330  435  530  635  730
   23  113  223  313  423  513  623  713
   91  132  291  332  490  532  690  732
   36  143  236  343  436  543  637  743
   93  126  292  326  492  526  692  726
   84  134  283  334  483  534  683  734
    3  130  203  329  403  529  604  729
   18  145  218  344  418  544  618  619  744
   42  175  242  375  442  574  642  774
   44  192  244  392  444  591  644  791
   27  170  227  228  369  428  569  628  769
    9  135  209  335  409  535  609  734
   18  194  218  393  418  593  618  792
   70  105  270  305  470  506  670  706
   85  189  284  389  484  589  684  788
   57  118  257  318  457  519  657  719
   77  196  277  396  477  595  677  795
   92  167  291  292  367  491  566  691  766
   27  150  228  350  428  550  628  750
   40  193  240  393  440  592  640  792
   52  169  252  369  452  569  653  769
   54  174  254  374  454  573  655  773
   57  197  257  396  457  596  658  795
   36  190  236  390  437  589  637  789
   27  114  227  314  427  514  627  714
   60  189  260  389  460  589  659  788
   21  173  222  372  422  572  622  772
    5  179  205  379  406  579  606  779
   69  133  269  333  334  469  534  668  734
   82  109  110  281  310  481  510  681  710
  675  799
   68  169  268  369  468  569  668  769
    8  179  209  378  409  578  609  778
   49  192  249  392  449  592  649  792
   67  160  267  360  466  559  666  759
   54  148  254  349  454  549  654  749
   78  121  122  277  322  477  522  677  723
   67  198  268  397  468  597  668  797
    1  110  202  310  402  510  602  711
   61  129  260  330  460  530  660  730
   36  114  236  314  436  514  636  715
   67  177  267  376  377  466  576  666  776
   45  107  245  307  445  508  645  708
    3  152  203  352  403  552  603  752
   18  112  218  312  418  512  513  618  713
   10  111  210  312  410  512  611  712
   36  142  236  342  436  542  636  742
   62  107  262  308  462  508  662  709
  481  599  681  799
   96  181  296  381  496  580  696  780
   87  190  287  390  486  589  686  789
   55  153  255  353  455  553  655  754
   25  110  225  310  425  510  625  710
   88  197  288  397  487  597  687  796
   61  165  260  365  460  565  660  765
   88  181  288  381  487  488  581  687  781
   86  117  286  317  486  518  685  718
   98  109  298  309  498  510  697  698  710
   89  199  288  398  488  598  687  797
   43  193  242  393  442  592  642  792
   42  189  241  242  389  441  588  641  788
    4  166  204  366  404  565  604  765
   83  172  283  372  482  571  682  771
   17  147  217  347  417  547  618  747
   10  199  210  399  410  599  610  799
   81  152  281  352  481  553  681  753
   16  191  216  391  416  591  617  790
   47  114  247  314  315  447  515  647  715
   90  170  290  369  490  569  690  769
   56  125  256  326  456  526  656  726
   28  107  228  307  428  429  508  629  708
   93  153  293  353  493  553  693  753
   74  198  274  398  474  598  674  798
   41  195  196  241  395  441  595  641  795
   90  172  290  372  489  572  689  772
   86  153  286  353  486  553  686  753
   30  199  230  399  430  599  630  799
   88  113  288  313  487  513  687  714
   49  144  249  344  449  544  648  744
   60  158  260  358  460  558  659  757
   30  121  230  321  430  522  630  722
   78  130  278  330  478  531  678  731
   62  115  262  315  462  516  661  716
   88  163  288  363  488  563  688  764
   74  101  274  302  474  502  674  702
   43  116  243  317  443  517  643  717
   62  147  261  347  461  547  661  747
   98   99  100  298  301  498  501  698  702
   33  155  232  355  432  555  632  755
   42  139  242  339  442  540  642  740
   21  141  221  341  421  541  622  741
   32  169  232  369  432  568  633  768
   59  168  259  368  459  568  659  768
   67  185  267  385  467  585  667  785
   15  100  215  300  416  501  616  701
  630  799
   68  197  268  269  397  469  596  669  796
    6  101  206  301  406  502  607  702
    7  171  208  370  408  570  608  770
   95  166  295  366  494  566  694  766
  299  307  499  507  699  707
   96  133  296  333  495  533  695  733
   62  146  262  346  462  546  662  746
   44  144  244  344  445  544  645  745
   75  139  275  339  475  539  675  739
   71  103  271  303  470  471  504  670  704
   92  123  291  323  491  524  691  724
   29  192  229  392  429  592  628  792
    8  161  208  360  408  560  609  760
   94  181  293  381  493  581  693  781
   78  130  278  330  477  530  677  730
   12  131  212  331  412  531  612  731
   43  197  243  396  443  596  643  796
   47  197  247  397  447  597  647  796
   16  117  216  318  417  518  617  718
   31  175  231  375  431  575  631  775
   84  119  284  320  484  520  684  720  721
   65  186  265  385  465  585  665  785
   89  187  289  387  488  587  688  787
   54  191  254  391  454  591  654  791
   94  194  294  394  494  593  693  793
   97  188  297  388  497  588  697  787
    0  144  200  201  343  344  401  543  601  743
   46  148  246  348  446  548  646  748
   19  125  219  325  419  525  620  726
   57  146  257  346  457  546  657  747
   45  165  245  365  446  565  646  765
   28  107  228  307  428  508  629  708
   73  177  272  377  472  577  672  777
   68  117  268  317  467  517  667  717
   67  197  267  397  467  597  667  796
   31  142  231  342  431  542  631  741
